"Número de série do chip","Número de telefone do chip","IMSI do chip","Lote do chip","Operadora do chip","Provedor de serviço do chip","Origem Softruck do chip","Data de criação do chip","Data de atualização do chip","Última origem de integração do chip","Última data de integração do chip","Nome do dispositivo","IMEI do dispositivo","Código do dispositivo","Nome da empresa","CNPJ da empresa","Nome da tag"
"89551080337002522444","5511961870309","-","-","Allcom","Vivo","Verdadeiro","12/07/2018, 17:46:01","12/07/2018, 17:46:01","-","-","007184292","356430071842925","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551181142000292422","5581981891149","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","02/02/2018, 17:49:33","-","-","007066034","356430070660344","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337002581283","5511943790088","-","-","Allcom","Vivo","Verdadeiro","12/07/2018, 17:46:01","12/07/2018, 17:46:01","-","-","007184429","356430071844293","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764174","5511950912444","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027840768","862193027840768","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764208","5511950912481","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027853183","862193027853183","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551025142007644179","5511973827892","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","04/04/2019, 16:24:57","-","-","007075603","356430070756035","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551025142007642090","5511943981356","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","02/02/2018, 17:49:33","-","-","007078265","356430070782650","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551025142007644302","5511974210650","-","-","Allcom","Vivo","Verdadeiro","02/02/2018, 17:49:33","02/02/2018, 17:49:33","-","-","007075787","356430070757876","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337002524424","5511996107186","-","-","Allcom","Vivo","Verdadeiro","12/07/2018, 17:46:01","12/07/2018, 17:46:01","-","-","007184310","356430071843105","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337002583735","5511975279953","-","-","Allcom","Vivo","Verdadeiro","12/07/2018, 17:46:01","12/07/2018, 17:46:01","-","-","007184163","356430071841638","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080337006764182","5511950912445","-","-","Allcom","Vivo","Verdadeiro","21/01/2019, 11:16:06","21/01/2019, 11:16:06","-","-","862193027853878","862193027853878","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080437000802580","5511944905729","-","-","Allcom","Vivo","Verdadeiro","21/09/2018, 15:44:05","21/09/2018, 15:44:05","-","-","007282226","356430072822264","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080437001136996","5511943151067","-","-","Allcom","Vivo","Verdadeiro","21/09/2018, 15:44:05","21/09/2018, 15:44:05","-","-","007277130","356430072771305","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080437001138935","5511971014631","-","-","Allcom","Vivo","Verdadeiro","21/09/2018, 15:44:05","21/09/2018, 15:44:05","-","-","007280801","356430072808016","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89551080437001138950","5511971090048","-","-","Allcom","Vivo","Verdadeiro","21/09/2018, 15:44:05","21/09/2018, 15:44:05","-","-","007280791","356430072807919","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100013090549","5516990901275","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100013100231","5516990735519","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","864893039190726","864893039190726","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100009385085","5516990581228","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","864893036502915","864893036502915","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100053858722","5516990839959","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","354778343351089","354778343351089","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100036343362","5516995708941","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232053157252","867232053157252","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100017422573","5516990419436","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","865205039436737","865205039436737","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047499633","5516989758261","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100018028437","5516994857909","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","864893039750966","864893039750966","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100009385127","5516990582796","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","864893036502576","864893036502576","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100013102104","5516990733942","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","007324011","356430073240110","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050052824","5516999727856","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232051537760","867232051537760","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100018029583","5516994846425","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","865205039325484","865205039325484","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047474081","5516996820421","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232053175767","867232053175767","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100032266633","5516999454631","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","865205039591895","865205039591895","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100013090580","5516990902734","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","864893038451087","864893038451087","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050050760","5516990624079","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232051477686","867232051477686","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047499864","5516989750421","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232051468909","867232051468909","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100032266625","5516999451355","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","865205039526990","865205039526990","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050052808","5516996713955","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232053149564","867232053149564","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100054651670","5516990569598","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","354778343342476","354778343342476","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050035068","5516990660119","-","-","m2data","Algar","Falso","04/03/2024, 15:40:00","04/03/2024, 15:40:00","-","-","867232053163367","867232053163367","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100032266609","5516999457458","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100009385150","5516990582820","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100009385101","5516990581206","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100013100249","5516990735488","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100013100207","5516990733902","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100032266591","5516999454602","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100017422649","5516990416241","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100017422631","5516990419401","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100036343313","5516995697229","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","867232053300639","867232053300639","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050050745","5516999729218","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100024863850","5516999190690","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047474065","5516996822114","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100009385119","5516990580667","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047500067","5516996625697","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050052865","5516996630130","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050034905","5516990900495","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047474040","5516996823590","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100049998681","5516996820647","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100047499641","5516990554966","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050151303","5516989759430","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050050737","5516996960302","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100032363380","5516998268104","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100036343347","5516995700747","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050022397","5516990587804","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100050051073","5516990699345","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100053858748","5516990904495","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","-","-","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
"89553202100053858797","5516990555880","-","-","m2data","Algar","Falso","04/03/2024, 13:50:16","04/03/2024, 13:50:16","-","-","354778343350404","354778343350404","-","O GRUPO WIN ASSOCIAÇÃO DE BENEFICIOS","43579314000101","-"
